oc1,oc2,appel_2nde,loisir_2nde,loisir_1ere,comment
ANGERS ST LAUD,MOUTIERS SALINS BRIDES,25,120,161,
ANGERS ST LAUD,NANCY VILLE,25,112,148,
ANGERS ST LAUD,NANTES,,19.5,27.5,
ANGERS ST LAUD,NIMES,25,133,173,
ANGERS ST LAUD,PARIS MONTPARNASSE 1 ET 2,20,73,104,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD,PORNICHET,,32,45,
ANGERS ST LAUD,QUIMPER,,53,78,
ANGERS ST LAUD,REDON,,32,46,
ANGERS ST LAUD,RENNES,,41,60,
ANGERS ST LAUD,SABLE,,12.1,18,
ANGERS ST LAUD,SALLANCHES COMBLOUX MEGEVE,25,120,161,
ANGERS ST LAUD,SAUMUR,,11.3,17,
ANGERS ST LAUD,SAVENAY,,26,38,
ANGERS ST LAUD,SAVERNE,30,136,180,
ANGERS ST LAUD,ST AVRE LA CHAMBRE,25,120,161,
ANGERS ST LAUD,ST BRIEUC,,53,78,
ANGERS ST LAUD,ST GERVAIS LES BAINS LE FAYET,25,120,161,
ANGERS ST LAUD,ST JEAN DE MAURIENNE ARVAN,25,120,161,
ANGERS ST LAUD,ST MICHEL VALLOIRE,25,120,161,
ANGERS ST LAUD,ST NAZAIRE,,30,43,
ANGERS ST LAUD,ST PIERRE DES CORPS,,22.5,33,
ANGERS ST LAUD,STRASBOURG,30,141,182,
ANGERS ST LAUD,TGV HAUTE PICARDIE,25,89,114,
ANGERS ST LAUD,VALENCE,25,116,151,
ANGERS ST LAUD,VALENCE TGV,25,116,151,
ANGERS ST LAUD,VANNES,,39,55,
ANGERS ST LAUD,VENDOME VILLIERS SUR LOIR,,31,47,
ANGOULEME , AEROPORT CDG2 TGV ROISSY,20,96,133,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , ARCACHON,,39,54,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , ARRAS,25,120,156,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , BORDEAUX ST JEAN,,32,47,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , CHAMPAGNE ARDENNE,25,106,138,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , CHATELLERAULT,,29.5,43,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , DOUAI,25,120,156,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , FACTURE BIGANOS,,37,53,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , FUTUROSCOPE,,25.5,38,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , LA TESTE,,39,54,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , LILLE EUROPE,25,120,156,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , LORRAINE TGV,25,124,162,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , MARNE LA VALLEE CHESSY,20,96,133,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , MASSY TGV,20,96,133,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , MEUSE TGV,25,117,154,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , PARIS MONTPARNASSE 1 ET 2,20,96,133,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , POITIERS,,25.5,38,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , ST PIERRE DES CORPS,,45,63,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , TGV HAUTE PICARDIE,25,120,156,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME , VENDOME VILLIERS SUR LOIR,,52,76,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME,AEROPORT CDG 2 TGV ROISSY,20,87,121,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,ARCACHON,,36,50,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,ARRAS,25,119,155,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,BAYONNE,,52,77,
ANGOULEME,BIARRITZ,,53,79,
ANGOULEME,BORDEAUX ST JEAN,,27,40,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,CHAMPAGNE ARDENNE,25,102,133,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,CHATELLERAULT,,28.5,42,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,DOUAI,25,119,155,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,FACTURE BIGANOS,,33,47,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,FUTUROSCOPE,,25,37,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,LA TESTE,,36,50,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,LIBOURNE,,21,31,
ANGOULEME,LILLE EUROPE,25,119,155,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,LORRAINE TGV,25,119,156,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,LOURDES,20,61,87,
ANGOULEME,LYON PART DIEU,25,116,163,
ANGOULEME,LYON PERRACHE,25,116,163,
ANGOULEME,MARMANDE,,45,65,
ANGOULEME,MARNE LA VALLEE CHESSY,20,87,121,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,MASSY TGV,20,87,121,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,MEUSE,25,111,147,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,MONTAUBAN VILLE BOURBON,20,53,78,
ANGOULEME,MORCENX,,46,67,
ANGOULEME,NANCY VILLE,25,119,156,
ANGOULEME,ORTHEZ,,51,76,
ANGOULEME,PARIS AUSTERLITZ,20,87,121,
ANGOULEME,PARIS MONTPARNASSE 1 ET 2,20,87,121,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,POITIERS,,23.5,35,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,RUFFEC CHARENTE,,11.9,17.5,
ANGOULEME,SAVERNE,30,146,193,
ANGOULEME,ST JEAN DE LUZ CIBOURE,,54,80,
ANGOULEME,ST PIERRE DES CORPS,,38,53,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,TARBES,20,63,90,
ANGOULEME,TGV HAUTE PICARDIE,25,109,142,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME,TOULOUSE MATABIAU,20,60,85,
